Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,AR,Argentina,AMRO,,0,,0
2020-01-12,AR,Argentina,AMRO,,0,,0
2020-01-19,AR,Argentina,AMRO,,0,,0
2020-01-26,AR,Argentina,AMRO,,0,,0
2020-02-02,AR,Argentina,AMRO,,0,,0
2020-02-09,AR,Argentina,AMRO,,0,,0
2020-02-16,AR,Argentina,AMRO,,0,,0
2020-02-23,AR,Argentina,AMRO,,0,,0
2020-03-01,AR,Argentina,AMRO,,0,,0
2020-03-08,AR,Argentina,AMRO,22,22,1,1
2020-03-15,AR,Argentina,AMRO,109,131,8,9
2020-03-22,AR,Argentina,AMRO,405,536,11,20
2020-03-29,AR,Argentina,AMRO,746,1282,50,70
2020-04-05,AR,Argentina,AMRO,791,2073,61,131
2020-04-12,AR,Argentina,AMRO,917,2990,74,205
2020-04-19,AR,Argentina,AMRO,1076,4066,74,279
2020-04-26,AR,Argentina,AMRO,1398,5464,132,411
2020-05-03,AR,Argentina,AMRO,1289,6753,115,526
2020-05-10,AR,Argentina,AMRO,1897,8650,120,646
2020-05-17,AR,Argentina,AMRO,2910,11560,144,790
2020-05-24,AR,Argentina,AMRO,5061,16621,219,1009
2020-05-31,AR,Argentina,AMRO,5785,22406,297,1306
2020-06-07,AR,Argentina,AMRO,7297,29703,358,1664
2020-06-14,AR,Argentina,AMRO,10685,40388,458,2122
2020-06-21,AR,Argentina,AMRO,14050,54438,602,2724
2020-06-28,AR,Argentina,AMRO,19007,73445,776,3500
2020-07-05,AR,Argentina,AMRO,20195,93640,903,4403
2020-07-12,AR,Argentina,AMRO,24971,118611,1153,5556
2020-07-19,AR,Argentina,AMRO,31572,150183,1374,6930
2020-07-26,AR,Argentina,AMRO,39247,189430,1544,8474
2020-08-02,AR,Argentina,AMRO,41965,231395,1456,9930
2020-08-09,AR,Argentina,AMRO,51641,283036,1762,11692
2020-08-16,AR,Argentina,AMRO,48677,331713,1662,13354
2020-08-23,AR,Argentina,AMRO,51183,382896,1877,15231
2020-08-30,AR,Argentina,AMRO,68979,451875,2260,17491
2020-09-06,AR,Argentina,AMRO,72320,524195,2324,19815
2020-09-13,AR,Argentina,AMRO,78158,602353,2446,22261
2020-09-20,AR,Argentina,AMRO,75330,677683,2340,24601
2020-09-27,AR,Argentina,AMRO,81712,759395,2456,27057
2020-10-04,AR,Argentina,AMRO,87054,846449,2523,29580
2020-10-11,AR,Argentina,AMRO,96217,942666,2602,32182
2020-10-18,AR,Argentina,AMRO,95982,1038648,2449,34631
2020-10-25,AR,Argentina,AMRO,97588,1136236,2348,36979
2020-11-01,AR,Argentina,AMRO,81504,1217740,1854,38833
2020-11-08,AR,Argentina,AMRO,70725,1288465,1683,40516
2020-11-15,AR,Argentina,AMRO,67129,1355594,1452,41968
2020-11-22,AR,Argentina,AMRO,57887,1413481,1170,43138
2020-11-29,AR,Argentina,AMRO,48034,1461515,943,44081
2020-12-06,AR,Argentina,AMRO,42762,1504277,862,44943
2020-12-13,AR,Argentina,AMRO,35314,1539591,795,45738
2020-12-20,AR,Argentina,AMRO,45454,1585045,910,46648
2020-12-27,AR,Argentina,AMRO,44863,1629908,859,47507
2021-01-03,AR,Argentina,AMRO,60464,1690372,1103,48610
2021-01-10,AR,Argentina,AMRO,84733,1775105,1415,50025
2021-01-17,AR,Argentina,AMRO,77946,1853051,1300,51325
2021-01-24,AR,Argentina,AMRO,79316,1932367,1260,52585
2021-01-31,AR,Argentina,AMRO,61185,1993552,1131,53716
2021-02-07,AR,Argentina,AMRO,51269,2044821,948,54664
2021-02-14,AR,Argentina,AMRO,50744,2095565,935,55599
2021-02-21,AR,Argentina,AMRO,42687,2138252,797,56396
2021-02-28,AR,Argentina,AMRO,44701,2182953,831,57227
2021-03-07,AR,Argentina,AMRO,43723,2226676,884,58111
2021-03-14,AR,Argentina,AMRO,50279,2276955,977,59088
2021-03-21,AR,Argentina,AMRO,51631,2328586,994,60082
2021-03-28,AR,Argentina,AMRO,71481,2400067,1259,61341
2021-04-04,AR,Argentina,AMRO,93977,2494044,1654,62995
